,NAME,Address1,Address2,PHONE,street address,city,zipcode
22,Catholic Charities Employee Services,"126 S Desplaines StChicago, IL 60661","126+S+Desplaines+StChicago,+IL+60661",(312) 655-7127,126 S Desplaines St,Chicago,60661
23,Council-Islamic,"231 S State StChicago, IL 60604","231+S+State+StChicago,+IL+60604",(312) 506-0070,231 S State St,Chicago,60604
24,Archdiocese of Chicago Pastoral Centers,"711 W Monroe StChicago, IL 60661","711+W+Monroe+StChicago,+IL+60661",(312) 534-4444,711 W Monroe St,Chicago,60661
25,Willow Creek Community Church,"418 S Wabash AveChicago, IL 60605","418+S+Wabash+AveChicago,+IL+60605",(312) 436-9000,418 S Wabash Ave,Chicago,60605
26,Resurrection Church of Chicago,"100 N State StChicago, IL 60602","100+N+State+StChicago,+IL+60602",(773) 995-7415,100 N State St,Chicago,60602
27,Circle Urban Ministries,"100 N State StChicago, IL 60602","100+N+State+StChicago,+IL+60602",(773) 921-1446,100 N State St,Chicago,60602
28,Trinity United Church,"100 N State StChicago, IL 60602","100+N+State+StChicago,+IL+60602",(773) 962-5656,100 N State St,Chicago,60602
29,American Friends Service Committee,"637 S Dearborn St Fl 3Chicago, IL 60605","637+S+Dearborn+St+Fl+3Chicago,+IL+60605",(312) 427-2533,637 S Dearborn St Fl 3,Chicago,60605
30,Grace Episcopal Church,"637 S Dearborn St Fl 2Chicago, IL 60605","637+S+Dearborn+St+Fl+2Chicago,+IL+60605",(312) 922-1426,637 S Dearborn St Fl 2,Chicago,60605
31,Chicago Onnuri Church - Downtown Campus,"637 S Dearborn StChicago, IL 60605","637+S+Dearborn+StChicago,+IL+60605",(872) 222-9001,637 S Dearborn St,Chicago,60605
32,Aitz Hayim In the City ITC,"30 N Michigan AveChicago, IL 60602","30+N+Michigan+AveChicago,+IL+60602",(312) 980-0023,30 N Michigan Ave,Chicago,60602
33,Holbrook Counseling & Therapy,"641 W Lake St Ste 404Chicago, IL 60661","641+W+Lake+St+Ste+404Chicago,+IL+60661",(312) 655-7550,641 W Lake St Ste 404,Chicago,60661
34,Presbytery Church Of Chicago,"815 W Van Buren St Ste 500Chicago, IL 60607","815+W+Van+Buren+St+Ste+500Chicago,+IL+60607",(312) 243-8300,815 W Van Buren St Ste 500,Chicago,60607
35,Urban Village Church,"610 S Michigan AveChicago, IL 60605","610+S+Michigan+AveChicago,+IL+60605",(312) 268-5300,610 S Michigan Ave,Chicago,60605
36,Catholic Conference-Illinois,"65 E Wacker Pl Ste 1620Chicago, IL 60601","65+E+Wacker+Pl+Ste+1620Chicago,+IL+60601",(312) 368-1066,65 E Wacker Pl Ste 1620,Chicago,60601
37,Christian Science Church,"55 E Wacker DrChicago, IL 60601","55+E+Wacker+DrChicago,+IL+60601",(312) 236-4671,55 E Wacker Dr,Chicago,60601
38,Comboni Missionaries Peace Corner,"1050 S State StChicago, IL 60605","1050+S+State+StChicago,+IL+60605",(773) 261-5329,1050 S State St,Chicago,60605
39,Assumption Church Servite Fathers,"323 W Illinois StChicago, IL 60654","323+W+Illinois+StChicago,+IL+60654",(312) 644-0036,323 W Illinois St,Chicago,60654
40,Holy Cross Mission,"932 W Washington BlvdChicago, IL 60607","932+W+Washington+BlvdChicago,+IL+60607",(312) 977-2751,932 W Washington Blvd,Chicago,60607
41,Bethel House of Prayer,"10 E Kinzie StChicago, IL 60611","10+E+Kinzie+StChicago,+IL+60611",(773) 660-9490,10 E Kinzie St,Chicago,60611
42,Nuestra Senora De Las Amercas,"10 E Kinzie StChicago, IL 60611","10+E+Kinzie+StChicago,+IL+60611",(872) 206-2631,10 E Kinzie St,Chicago,60611
43,National Federation-Priests,"333 N Michigan Ave Ste 1205Chicago, IL 60601","333+N+Michigan+Ave+Ste+1205Chicago,+IL+60601",(312) 442-9700,333 N Michigan Ave Ste 1205,Chicago,60601
44,Kuoni Destination Management,"210 W Illinois StChicago, IL 60654","210+W+Illinois+StChicago,+IL+60654",(312) 994-3040,210 W Illinois St,Chicago,60654
45,Faith Hinz,"405 N Wabash AveChicago, IL 60611","405+N+Wabash+AveChicago,+IL+60611",(773) 326-8125,405 N Wabash Ave,Chicago,60611
46,Bernick Advisory,"401 N Michigan Ave Ste 1818Chicago, IL 60611","401+N+Michigan+Ave+Ste+1818Chicago,+IL+60611",(312) 464-1818,401 N Michigan Ave Ste 1818,Chicago,60611
47,University Bible Fellowship,"1015 W Polk StChicago, IL 60607","1015+W+Polk+StChicago,+IL+60607",(312) 243-9287,1015 W Polk St,Chicago,60607
48,Fathers Paulist,"1250 S State StChicago, IL 60605","1250+S+State+StChicago,+IL+60605",(312) 341-0878,1250 S State St,Chicago,60605
49,Archdiocese of Chicago Pastoral Centers,"1140 W Jackson BlvdChicago, IL 60607","1140+W+Jackson+BlvdChicago,+IL+60607",(312) 738-9246,1140 W Jackson Blvd,Chicago,60607
50,Archdiocese Of Chicago Pastoral Centers,"1146 W Jackson BlvdChicago, IL 60607","1146+W+Jackson+BlvdChicago,+IL+60607",(312) 738-7570,1146 W Jackson Blvd,Chicago,60607
51,Cristo Rey Network,"14 E Jackson Blvd Ste 1200Chicago, IL 60604","14+E+Jackson+Blvd+Ste+1200Chicago,+IL+60604",(312) 784-7200,14 E Jackson Blvd Ste 1200,Chicago,60604
52,Old Saint Pats,"700 W Adams StChicago, IL 60661","700+W+Adams+StChicago,+IL+60661",(312) 648-1021,700 W Adams St,Chicago,60661
53,Downtown Islamic Center,"231 S State St Fl 4Chicago, IL 60604","231+S+State+St+Fl+4Chicago,+IL+60604",(312) 939-9095,231 S State St Fl 4,Chicago,60604
54,Rev Paul Cullen Reverend,"323 W Illinois StChicago, IL 60654","323+W+Illinois+StChicago,+IL+60654",(312) 527-0711,323 W Illinois St,Chicago,60654
55,First St Paul's Evangelical Lutheran Church,"1301 N La Salle DrChicago, IL 60610","1301+N+La+Salle+DrChicago,+IL+60610",(312) 642-7172,1301 N La Salle Dr,Chicago,60610
56,Holy Name Cathedral,"730 N Wabash AveChicago, IL 60611","730+N+Wabash+AveChicago,+IL+60611",(312) 787-8040,730 N Wabash Ave,Chicago,60611
57,Fourth Presbyterian Church,"126 E Chestnut StChicago, IL 60611","126+E+Chestnut+StChicago,+IL+60611",(312) 787-4570,126 E Chestnut St,Chicago,60611
58,St. James Cathedral,"65 E Huron StChicago, IL 60611","65+E+Huron+StChicago,+IL+60611",(312) 787-7360,65 E Huron St,Chicago,60611
59,New Zion Grove Baptist Church,"Chicago, IL 60609","Chicago,+IL+60609",(773) 476-9180,,Chicago,60609
60,Church Of The Epiphany,"201 S Ashland AveChicago, IL 60607","201+S+Ashland+AveChicago,+IL+60607",(312) 243-4242,201 S Ashland Ave,Chicago,60607
61,St Procopius Church,"1641 S Allport StChicago, IL 60608","1641+S+Allport+StChicago,+IL+60608",(312) 226-7887,1641 S Allport St,Chicago,60608
62,St John Cantius Church,"825 N Carpenter StChicago, IL 60642","825+N+Carpenter+StChicago,+IL+60642",(312) 243-7373,825 N Carpenter St,Chicago,60642
63,Holy Ghost Cathedral,"Chicago, IL 60628","Chicago,+IL+60628",(773) 660-0600,,Chicago,60628
64,First Immanuel Lutheran Church,"1124 S Ashland AveChicago, IL 60607","1124+S+Ashland+AveChicago,+IL+60607",(312) 733-6886,1124 S Ashland Ave,Chicago,60607
65,St Joseph Church,"1107 N Orleans StChicago, IL 60610","1107+N+Orleans+StChicago,+IL+60610",(312) 787-7174,1107 N Orleans St,Chicago,60610
66,Park Community Church,"1001 N Crosby StChicago, IL 60610","1001+N+Crosby+StChicago,+IL+60610",(312) 526-3037,1001 N Crosby St,Chicago,60610
67,Bethel Mennonite Church,"1434 S Laflin StChicago, IL 60608","1434+S+Laflin+StChicago,+IL+60608",(312) 421-3871,1434 S Laflin St,Chicago,60608
68,Catholic Charities,"721 N La Salle DrChicago, IL 60654","721+N+La+Salle+DrChicago,+IL+60654",(312) 655-7700,721 N La Salle Dr,Chicago,60654
69,Saint Francis Of Assisi Church,"813 W Roosevelt RdChicago, IL 60608","813+W+Roosevelt+RdChicago,+IL+60608",(312) 226-7575,813 W Roosevelt Rd,Chicago,60608
70,EV Stewart & Associates,"500 N Michigan Ave Ste 300Chicago, IL 60611","500+N+Michigan+Ave+Ste+300Chicago,+IL+60611",(312) 924-1339,500 N Michigan Ave Ste 300,Chicago,60611
71,Soul City Church,"1150 W Adams StChicago, IL 60607","1150+W+Adams+StChicago,+IL+60607",(312) 252-3062,1150 W Adams St,Chicago,60607
72,Notre Dame De Chicago Parish,"1336 S State StChicago, IL 60605","1336+S+State+StChicago,+IL+60605",(312) 243-7400,1336 S State St,Chicago,60605
73,South Loop Community Church,"1347 S State StChicago, IL 60605","1347+S+State+StChicago,+IL+60605",(312) 566-9076,1347 S State St,Chicago,60605
74,U.P.C.A.G,"1143 W Lake StChicago, IL 60607","1143+W+Lake+StChicago,+IL+60607",(773) 779-7847,1143 W Lake St,Chicago,60607
75,The Episcopal Diocese of Chicago,"65 E Huron StChicago, IL 60611","65+E+Huron+StChicago,+IL+60611",(312) 751-4200,65 E Huron St,Chicago,60611
76,Bishop and Trustees of The Prostestant Episcopal C,"65 E Huron StChicago, IL 60611","65+E+Huron+StChicago,+IL+60611",(312) 649-0381,65 E Huron St,Chicago,60611
77,Holy Family Church,"1080 W Roosevelt RdChicago, IL 60608","1080+W+Roosevelt+RdChicago,+IL+60608",(312) 492-8442,1080 W Roosevelt Rd,Chicago,60608
78,Catholic Charities,"1100 S May StChicago, IL 60607","1100+S+May+StChicago,+IL+60607",(312) 666-3787,1100 S May St,Chicago,60607
79,Taranis Management,"1455 S Michigan Ave Ste 220Chicago, IL 60605","1455+S+Michigan+Ave+Ste+220Chicago,+IL+60605",(312) 662-1200,1455 S Michigan Ave Ste 220,Chicago,60605
80,City Church Chicago,"777 N Green StChicago, IL 60642","777+N+Green+StChicago,+IL+60642",(312) 243-0930,777 N Green St,Chicago,60642
81,United Methodist Campground,"14 E Chicago AveChicago, IL 60611","14+E+Chicago+AveChicago,+IL+60611",(847) 824-4924,14 E Chicago Ave,Chicago,60611
82,The Church of Jesus Christ of Latter-Day Saints,"822 N Clark StChicago, IL 60610","822+N+Clark+StChicago,+IL+60610",(312) 255-1240,822 N Clark St,Chicago,60610
83,Catholic Bishop Of Chicago,"1500 S Michigan AveChicago, IL 60605","1500+S+Michigan+AveChicago,+IL+60605",(312) 922-3444,1500 S Michigan Ave,Chicago,60605
84,Cornerstone Community Church,"1550 S State StChicago, IL 60605","1550+S+State+StChicago,+IL+60605",(312) 544-9877,1550 S State St,Chicago,60605
85,Archdiocese of Chicago Pastoral Centers,"835 N Rush StChicago, IL 60611","835+N+Rush+StChicago,+IL+60611",(312) 534-8200,835 N Rush St,Chicago,60611
86,Catholic Relief Services MidWest Office,"770 N Halsted St Ste 170Chicago, IL 60642","770+N+Halsted+St+Ste+170Chicago,+IL+60642",(312) 733-5124,770 N Halsted St Ste 170,Chicago,60642
87,True Rock Ministries,"57 E 16th StChicago, IL 60616","57+E+16th+StChicago,+IL+60616",(312) 939-1109,57 E 16th St,Chicago,60616
88,Saint Luke Church Of God In Christ,"914 N Orleans StChicago, IL 60610","914+N+Orleans+StChicago,+IL+60610",(312) 266-7258,914 N Orleans St,Chicago,60610
89,Chicago Sinai Congregration,"15 W Delaware PlChicago, IL 60610","15+W+Delaware+PlChicago,+IL+60610",(312) 867-7000,15 W Delaware Pl,Chicago,60610
90,Sinai Pre-School,"15 W Delaware PlChicago, IL 60610","15+W+Delaware+PlChicago,+IL+60610",(312) 867-7010,15 W Delaware Pl,Chicago,60610
91,Apostolic Pentecostal Church of Morgan Park,"1 W Delaware PlChicago, IL 60610","1+W+Delaware+PlChicago,+IL+60610",(773) 239-9586,1 W Delaware Pl,Chicago,60610
92,Gatting's Chapel,"1 W Delaware PlChicago, IL 60610","1+W+Delaware+PlChicago,+IL+60610",(708) 779-8957,1 W Delaware Pl,Chicago,60610
93,Christ The Savior Orthodox Church,"927 N La Salle DrChicago, IL 60610","927+N+La+Salle+DrChicago,+IL+60610",(312) 202-0423,927 N La Salle Dr,Chicago,60610
94,Harvest Bible Chapel,"935 N Dearborn StChicago, IL 60610","935+N+Dearborn+StChicago,+IL+60610",(847) 398-7005,935 N Dearborn St,Chicago,60610
95,Union Missionary Bapt Ch,"940 N Orleans StChicago, IL 60610","940+N+Orleans+StChicago,+IL+60610",(312) 642-5696,940 N Orleans St,Chicago,60610
96,St Matthew Methodist Church,"1000 N Orleans StChicago, IL 60610","1000+N+Orleans+StChicago,+IL+60610",(312) 337-7111,1000 N Orleans St,Chicago,60610
97,Holy Cross-Immaculate Heart,"1740 S State StChicago, IL 60616","1740+S+State+StChicago,+IL+60616",(773) 376-3900,1740 S State St,Chicago,60616
98,Santa Maria Addolorata Church,"528 N Ada StChicago, IL 60642","528+N+Ada+StChicago,+IL+60642",(312) 421-3122,528 N Ada St,Chicago,60642
99,Christ Temple Apostolic Faith,"14 S Ashland AveChicago, IL 60607","14+S+Ashland+AveChicago,+IL+60607",(312) 243-5190,14 S Ashland Ave,Chicago,60607
100,Providence of God Church,"717 W 18th StChicago, IL 60616","717+W+18th+StChicago,+IL+60616",(312) 226-2929,717 W 18th St,Chicago,60616
101,St. Basil Greek Orthodox Church,"733 S Ashland AveChicago, IL 60607","733+S+Ashland+AveChicago,+IL+60607",(312) 243-3738,733 S Ashland Ave,Chicago,60607
102,Collectors Union,"1807 S Peoria StChicago, IL 60608","1807+S+Peoria+StChicago,+IL+60608",(312) 624-8584,1807 S Peoria St,Chicago,60608
103,Greater Mt Sinai Missionary Baptist Church,"1421 W Washburne AveChicago, IL 60608","1421+W+Washburne+AveChicago,+IL+60608",(312) 374-4193,1421 W Washburne Ave,Chicago,60608
104,Immanuel Baptist Church,"1443 W Roosevelt RdChicago, IL 60608","1443+W+Roosevelt+RdChicago,+IL+60608",(312) 493-3726,1443 W Roosevelt Rd,Chicago,60608
105,No Limit Christian Center,"1443 W Roosevelt RdChicago, IL 60608","1443+W+Roosevelt+RdChicago,+IL+60608",(312) 432-1877,1443 W Roosevelt Rd,Chicago,60608
106,New Nazareth Baptist Church,"1029 N State StChicago, IL 60610","1029+N+State+StChicago,+IL+60610",(773) 768-9592,1029 N State St,Chicago,60610
107,Holy Family Lutheran Church,"542 W Hobbie StChicago, IL 60610","542+W+Hobbie+StChicago,+IL+60610",(312) 337-5443,542 W Hobbie St,Chicago,60610
108,Wayman AME Church,"509 W Elm StChicago, IL 60610","509+W+Elm+StChicago,+IL+60610",(312) 944-3780,509 W Elm St,Chicago,60610
109,Beacon Holy Nazarene Church,"1057 N State StChicago, IL 60610","1057+N+State+StChicago,+IL+60610",(773) 821-0950,1057 N State St,Chicago,60610
110,Chicago Central District Church,"1111 N Wells StChicago, IL 60610","1111+N+Wells+StChicago,+IL+60610",(312) 255-0151,1111 N Wells St,Chicago,60610
111,Church Ascension Rectory,"1119 N La Salle DrChicago, IL 60610","1119+N+La+Salle+DrChicago,+IL+60610",(312) 291-9071,1119 N La Salle Dr,Chicago,60610
112,Iglesia Cristo El Redentor,"1130 W 17th StChicago, IL 60608","1130+W+17th+StChicago,+IL+60608",(773) 273-9556,1130 W 17th St,Chicago,60608
113,Sisters Of St Anne,"1125 N La Salle DrChicago, IL 60610","1125+N+La+Salle+DrChicago,+IL+60610",(312) 642-3638,1125 N La Salle Dr,Chicago,60610
114,Holy David Missionary Baptist Church,"729 W 19th PlChicago, IL 60616","729+W+19th+PlChicago,+IL+60616",(312) 421-1638,729 W 19th Pl,Chicago,60616
115,Second Presbyterian Church,"1936 S Michigan AveChicago, IL 60616","1936+S+Michigan+AveChicago,+IL+60616",(312) 225-4951,1936 S Michigan Ave,Chicago,60616
116,Diocese Of The Midwest,"927 N La Salle DrChicago, IL 60610","927+N+La+Salle+DrChicago,+IL+60610",(312) 202-0420,927 N La Salle Dr,Chicago,60610
117,Pleasant Valley Baptist Church,"1709 W Washington BlvdChicago, IL 60612","1709+W+Washington+BlvdChicago,+IL+60612",(773) 248-3142,1709 W Washington Blvd,Chicago,60612
118,Dominican Sisters of Mary,"1611 S Allport StChicago, IL 60608","1611+S+Allport+StChicago,+IL+60608",(312) 496-3017,1611 S Allport St,Chicago,60608
119,Apostolic Assembly Of The Faith In Christ Jesus Inc,"1401 W Superior StChicago, IL 60642","1401+W+Superior+StChicago,+IL+60642",(312) 733-3715,1401 W Superior St,Chicago,60642
120,Zion Hill M B C Chicago West,"1255 S Ashland AveChicago, IL 60608","1255+S+Ashland+AveChicago,+IL+60608",(312) 226-4823,1255 S Ashland Ave,Chicago,60608
121,Holy Covenant Cgic,"1517 W Hastings StChicago, IL 60608","1517+W+Hastings+StChicago,+IL+60608",(312) 846-6869,1517 W Hastings St,Chicago,60608
122,Episcopal Diocese Of Chicago,"707 S Wood StChicago, IL 60612","707+S+Wood+StChicago,+IL+60612",(312) 563-4825,707 S Wood St,Chicago,60612
123,Lubavitch Chabad Off Del Loop,"1236 N Dearborn StChicago, IL 60610","1236+N+Dearborn+StChicago,+IL+60610",(312) 664-7770,1236 N Dearborn St,Chicago,60610
124,Jehovah's Witnesses,"1301 N Mohawk StChicago, IL 60610","1301+N+Mohawk+StChicago,+IL+60610",(312) 664-4971,1301 N Mohawk St,Chicago,60610
125,St Therese Chinese Mission,"218 W Alexander StChicago, IL 60616","218+W+Alexander+StChicago,+IL+60616",(312) 842-6777,218 W Alexander St,Chicago,60616
126,Pilgrim Rest Missionary Baptist Church,"1901 W Washington BlvdChicago, IL 60612","1901+W+Washington+BlvdChicago,+IL+60612",(312) 243-7579,1901 W Washington Blvd,Chicago,60612
127,Arch Diocese Of Chicago,"1850 S Throop StChicago, IL 60608","1850+S+Throop+StChicago,+IL+60608",(312) 243-4655,1850 S Throop St,Chicago,60608
128,Chinese Puitak School,"2301 S Wentworth AveChicago, IL 60616","2301+S+Wentworth+AveChicago,+IL+60616",(312) 842-8546,2301 S Wentworth Ave,Chicago,60616
129,Westside Community Church,"1937 W Adams StChicago, IL 60612","1937+W+Adams+StChicago,+IL+60612",(312) 226-4667,1937 W Adams St,Chicago,60612
130,Center For New Community,"811 W Evergreen Ave Ste 401aChicago, IL 60642","811+W+Evergreen+Ave+Ste+401aChicago,+IL+60642",(312) 266-0319,811 W Evergreen Ave Ste 401a,Chicago,60642
131,Bodhi Spiritual Center,"1012 N Noble StChicago, IL 60642","1012+N+Noble+StChicago,+IL+60642",(773) 248-5683,1012 N Noble St,Chicago,60642
132,City Point Community Church,"2255 S Michigan AveChicago, IL 60616","2255+S+Michigan+AveChicago,+IL+60616",(312) 794-5011,2255 S Michigan Ave,Chicago,60616
133,Secret Place Church of God,"Chicago, IL 60641","Chicago,+IL+60641",(773) 286-2172,,Chicago,60641
134,Excellent Way Church of God & Christ,"Chicago, IL 60290","Chicago,+IL+60290",(773) 375-8845,,Chicago,60290
135,Congregation or Chadash,"Chicago, IL 60601","Chicago,+IL+60601",(773) 334-1920,,Chicago,60601
136,Our Lady of Guadalupe,"Chicago, IL 60617","Chicago,+IL+60617",(773) 768-0793,,Chicago,60617
137,Lasalle Foundation,"1111 N Wells St Ste 500Chicago, IL 60610","1111+N+Wells+St+Ste+500Chicago,+IL+60610",(312) 587-3615,1111 N Wells St Ste 500,Chicago,60610
138,First Baptist Congregational,"1613 W Washington BlvdChicago, IL 60612","1613+W+Washington+BlvdChicago,+IL+60612",(312) 243-8047,1613 W Washington Blvd,Chicago,60612
139,Chinese Christian Union Church,"2301 S Wentworth AveChicago, IL 60616","2301+S+Wentworth+AveChicago,+IL+60616",(312) 842-8545,2301 S Wentworth Ave,Chicago,60616
140,Christian Community Development Association,"1100 W Cermak Rd Ste B414Chicago, IL 60608","1100+W+Cermak+Rd+Ste+B414Chicago,+IL+60608",(312) 733-0200,1100 W Cermak Rd Ste B414,Chicago,60608
141,Annunciation Greek Orthodox Cathedral,"1017 N La Salle DrChicago, IL 60610","1017+N+La+Salle+DrChicago,+IL+60610",(312) 664-5485,1017 N La Salle Dr,Chicago,60610
142,Archdiocese Vicar For Priests,"980 N Michigan Ave Ste 1525Chicago, IL 60611","980+N+Michigan+Ave+Ste+1525Chicago,+IL+60611",(312) 534-1837,980 N Michigan Ave Ste 1525,Chicago,60611
143,Holy Innocents Ch,"743 N Armour StChicago, IL 60642","743+N+Armour+StChicago,+IL+60642",(312) 666-3675,743 N Armour St,Chicago,60642
144,Church Of The Ascension,"1133 N La Salle DrChicago, IL 60610","1133+N+La+Salle+DrChicago,+IL+60610",(312) 664-1271,1133 N La Salle Dr,Chicago,60610
145,Victory Ministries,"770 N La Salle Dr Ste 300Chicago, IL 60654","770+N+La+Salle+Dr+Ste+300Chicago,+IL+60654",(312) 664-5474,770 N La Salle Dr Ste 300,Chicago,60654
146,Soka Gakkai International,"1455 S Wabash AveChicago, IL 60605","1455+S+Wabash+AveChicago,+IL+60605",(312) 913-1211,1455 S Wabash Ave,Chicago,60605
147,Archdiocese Of Chicago Pastoral Centers,"737 N Michigan AveChicago, IL 60611","737+N+Michigan+AveChicago,+IL+60611",(312) 534-5388,737 N Michigan Ave,Chicago,60611
148,Amistad Cristiana,"Chicago, IL 60607","Chicago,+IL+60607",(773) 829-1653,,Chicago,60607
149,Computers For Churches,"Chicago, IL 60643","Chicago,+IL+60643",(773) 233-9462,,Chicago,60643
150,Greater Union Baptist Church,"1956 W Warren BlvdChicago, IL 60612","1956+W+Warren+BlvdChicago,+IL+60612",(312) 421-6546,1956 W Warren Blvd,Chicago,60612
151,Saint Thomas Episcopal Church,Serving the 60606 Area,Serving+the+60606+Area,(773) 891-5534,NO CITY ASSIGNED,NOT MARKED,NO ZIPCODE
152,Ministry Of Helps & Deliverance,"2142 W Van Buren StChicago, IL 60612","2142+W+Van+Buren+StChicago,+IL+60612",(312) 733-2602,2142 W Van Buren St,Chicago,60612
153,Wicker Park Lutheran Church,"1502 N Hoyne AveChicago, IL 60622","1502+N+Hoyne+AveChicago,+IL+60622",(773) 276-0263,1502 N Hoyne Ave,Chicago,60622
154,Wells Temple Of Deliverance,"2739 W Madison StChicago, IL 60612","2739+W+Madison+StChicago,+IL+60612",(773) 533-6807,2739 W Madison St,Chicago,60612
155,Mount Carmel Baptist Church,"2978 S Wabash AveChicago, IL 60616","2978+S+Wabash+AveChicago,+IL+60616",(312) 225-0510,2978 S Wabash Ave,Chicago,60616
156,Bethel Temple Assembly of God,"1450 W 19th StChicago, IL 60608","1450+W+19th+StChicago,+IL+60608",(312) 421-5615,1450 W 19th St,Chicago,60608
157,St Adalbert Church,"1650 W 17th StChicago, IL 60608","1650+W+17th+StChicago,+IL+60608",(312) 226-0340,1650 W 17th St,Chicago,60608
158,St Ann's Church,"1836 S Leavitt StChicago, IL 60608","1836+S+Leavitt+StChicago,+IL+60608",(312) 733-7486,1836 S Leavitt St,Chicago,60608
159,St Chrysostom's Day School,"1424 N Dearborn StChicago, IL 60610","1424+N+Dearborn+StChicago,+IL+60610",(312) 642-3422,1424 N Dearborn St,Chicago,60610
160,Greater Bethlehem Healing,"12 S Oakley BlvdChicago, IL 60612","12+S+Oakley+BlvdChicago,+IL+60612",(312) 226-7980,12 S Oakley Blvd,Chicago,60612
161,Church of The Three Crosses,"333 W Wisconsin StChicago, IL 60614","333+W+Wisconsin+StChicago,+IL+60614",(312) 951-7916,333 W Wisconsin St,Chicago,60614
162,Brothers of The Holy Cross,"3111 S Aberdeen StChicago, IL 60608","3111+S+Aberdeen+StChicago,+IL+60608",(773) 927-7424,3111 S Aberdeen St,Chicago,60608
163,Trinity United Church-Christ,"3061 S Lyman StChicago, IL 60608","3061+S+Lyman+StChicago,+IL+60608",(773) 962-5650,3061 S Lyman St,Chicago,60608
164,St Vincent De Paul Day Care,"2145 N Halsted StChicago, IL 60614","2145+N+Halsted+StChicago,+IL+60614",(312) 943-6776,2145 N Halsted St,Chicago,60614
