id,PHONE,affiliation,city,name,state,street,zipcode
4472,(847) 945-1626,christian science,deerfield,first church-christ scientist,il,155 deerfield rd,60015
3192,(708) 424-3755,christian,evergreen park,immanuel united church-christ,il,9815 s campbell ave,60805
3193,(708) 422-7107,presbyterian,evergreen park,evergreen park presbyterian church,il,8859 s francisco ave,60805
3194,(708) 422-6429,,evergreen park,st bernadette school,il,9311 s francisco ave,60805
3195,(708) 422-8995,,evergreen park,byrne dave rev,il,9343 s francisco ave,60805
3196,(708) 424-1384,christian bible church,evergreen park,bethel bible church,il,3225 w 96th st,60805
3197,(708) 907-3361,evangelical,evergreen park,gilgal ministries,il,8859 s francisco ave,60805
3209,(708) 422-6301,Lutheran,evergreen park,united by faith lutheran church,il,3240 w 98th st,60805
3210,(708) 636-5653,,evergreen park,jacob's well church community,il,3450 w maple st,60805
3211,(708) 425-5354,,evergreen park,most holy redeemer school,il,3650 w 96th st,60805
3235,(708) 423-8110,,evergreen park,queen of martyrs rectory,il,10233 s central park ave,60805
3246,(708) 636-7144,,evergreen park,most holy redeemer church,il,9525 s lawndale ave,60805
3248,(708) 422-4340,christian non-denominational,evergreen park,maranatha chapel,il,9755 s pulaski rd,60805
3646,(708) 354-0900,,la grange park,village ucc,il,1150 meadowcrest rd,60526
3865,(708) 638-6377,,la grange park,yoelin property management,il,405 n kensington ave,60526
3871,(708) 354-1999,,la grange park,comboni lay missionaries,il,1615 e 31st st,60526
3872,(708) 352-2202,,la grange park,st louise de marillac school,il,1125 harrison ave,60526
3898,(708) 354-9200,,la grange park,congregation of saint joseph,il,1515 w ogden ave,60526
3899,(708) 354-3206,,la grange park,saint michael's luth ch,il,500 e 31st st,60526
4045,(708) 352-7388,,la grange park,st louise de marillac,il,1144 harrison ave,60526
3212,(708) 389-5112,baptist,calumet park,pioneer missionary baptist church,il,11914 s paulina st,60827
3213,(708) 388-9370,evangelical,calumet park,redeemed fellowship church,il,933 w 123rd st,60827
3214,(708) 385-7477,evangelical,calumet park,community covenant church,il,12446 s loomis st,60827
3215,(708) 385-6994,christian,calumet park,christ life redeeming mb church,il,1133 w 127th st,60827
3216,(708) 631-3465,christian,calumet park,tabernacle of david help center,il,1129 w 127th st,60827
3218,(708) 385-0703,,calumet park,fire worship fervent,il,12616 s ada st,60827
3221,(708) 389-1010,Lutheran,calumet park,mt calvary lutheran church,il,1301 w vermont ave,60827
4636,(847) 885-8183,evangelical,hoffman estates,alliance fellowship,il,665 grand canyon st,60169
4654,(847) 490-5252,hindu,hoffman estates,shree jalaram mandir,il,425 illinois blvd,60169
4657,(847) 885-2908,,hoffman estates,destiny church,il,325 illinois blvd,60169
4700,(847) 885-3683,christian,hoffman estates,summitview christian church,il,695 illinois blvd,60169
4701,(847) 885-1199,presbyterian,hoffman estates,the church of the cross united presbyterian usa,il,475 w higgins rd,60169
3562,(708) 481-7025,,chicago heights,emmaus community,il,925 macarthur dr,60411
3566,(708) 543-2311,christian non-denominational,chicago heights,restoration church,il,274 201st st,60411
3625,(708) 755-7900,christian non-denominational,chicago heights,new life christian fellowship,il,1645 wilson ave,60411
3645,(708) 757-5153,baptist,chicago heights,union evangelistic baptist church,il,1625 center ave,60411
3654,(708) 833-7544,evangelical,chicago heights,word of the world ministries,il,835 s halsted st,60411
3662,(708) 757-7710,baptist,chicago heights,calvary baptist church,il,241 e 15th st,60411
3687,(708) 481-3754,presbyterian,chicago heights,first presbyterian church,il,900 thomas st,60411
3776,(708) 755-0074,,chicago heights,st kieran,il,724 195th st,60411
3778,(708) 754-9332,catholic,chicago heights,christian cathedral,il,281 tahoe dr,60411
3783,(708) 756-0337,evangelical,chicago heights,river of life kingdom ministries,il,19600 glenwood rd,60411
3789,(708) 754-1337,catholic,chicago heights,franciscan alliance,il,100 197th pl,60411
3792,(708) 754-2266,united church of christ,chicago heights,advocate united church of christ,il,312 chicago rd,60411
3802,(708) 506-3168,pentecostal,chicago heights,kingdom apostolic church intl,il,425 ashland ave,60411
3815,(708) 898-1963,christian,chicago heights,freedom of grace full gospel church,il,667 8th st,60411
3827,(708) 672-6200,christian,chicago heights,deer creek christian church,il,330 w highland dr,60411
3829,(708) 251-8121,evangelical,chicago heights,pwc ministries,il,19930 rose st,60411
3832,(708) 833-7694,,chicago heights,faith movers church,il,1010 dixie hwy ste 306,60411
3838,(708) 758-5543,christian jehovah's witnesses,chicago heights,thorn creek congregation of jehovah's witnesses,il,20255 stoney island ave,60411
3839,(708) 248-7855,,chicago heights,the church of good,il,1045 dixie hwy,60411
3843,(708) 754-5606,baptist,chicago heights,midwest baptist church,il,1240 ashland ave,60411
3844,(708) 757-4505,pentecostal,chicago heights,trinity church of god in christ,il,1206 schilling ave,60411
3852,(708) 754-3499,pentecostal,chicago heights,living word outreach international church,il,400 w lincoln hwy,60411
3855,(708) 754-3530,baptist,chicago heights,new hope baptist church,il,130 e 13th st,60411
3856,(708) 515-9196,pentecostal,chicago heights,remnant church of god,il,1009 e 8th pl,60411
3858,(708) 248-7449,evangelical,chicago heights,fellowship of believers,il,268 w lincoln hwy,60411
3860,(708) 754-3122,seventh-day adventist,chicago heights,emmanuel seventh-day adventist church,il,1425 wilson ave,60411
3861,(708) 248-5226,baptist,chicago heights,greater faith baptist church,il,1417 emerald ave,60411
3866,(708) 898-0501,baptist,chicago heights,missionary baptist churc s,il,1303 5th ave,60411
3867,(708) 757-5080,pentecostal,chicago heights,new first church of god in christ,il,1304 wentworth ave,60411
3868,(708) 754-6959,baptist,chicago heights,church first baptist k,il,401 w 15th pl,60411
3873,(708) 758-1840,pentecostal,chicago heights,international pentecostal,il,283 e lincoln hwy,60411
3874,(708) 709-2694,,chicago heights,saint agnes church,il,1501 chicago rd,60411
3875,(708) 755-0645,christian non-denominational,chicago heights,greater new hope church,il,83 e 15th st,60411
3876,(708) 833-7473,pentecostal,chicago heights,new harvest pentecostal,il,270 e lincoln hwy,60411
3877,(708) 248-6401,evangelical,chicago heights,true vine love deliverance ministries,il,307 e lincoln hwy,60411
3878,(708) 757-0141,pentecostal,chicago heights,mount sinai apostolic church,il,284 e lincoln hwy,60411
3879,(708) 753-0463,catholic,chicago heights,goodwin memorial cathedral church,il,280 w 16th st,60411
3882,(708) 754-3140,,chicago heights,new convenant faith church,il,65 e 16th st,60411
3883,(708) 755-1659,baptist,chicago heights,new life baptist church,il,1633 wilson ave,60411
3884,(708) 757-5550,united church of christ,chicago heights,god can ministry united church of christ,il,1100 greenwood ave,60411
3885,(708) 758-9199,methodist,chicago heights,payne chapel ame church,il,1511 center ave,60411
3889,(708) 754-9505,,chicago heights,chicago miracle temple church,il,34 e 16th st,60411
3895,(708) 515-9336,baptist,chicago heights,greater faith baptist church,il,1658 thorn st,60411
3896,(708) 833-7279,,chicago heights,river of life worsip center,il,284 e 16th st,60411
3897,(708) 758-2268,baptist,chicago heights,union evangelistic baptist church annex,il,1639 center ave,60411
3900,(708) 481-8908,baptist,chicago heights,beacon hill missionary baptist church,il,275 plymouth dr,60411
3912,(708) 709-0249,,chicago heights,hermosa church,il,1935 s halsted st,60411
3913,(708) 755-4721,methodist,chicago heights,saint james christian methodist episcopal church,il,12 w main st,60411
3919,(708) 755-0095,seventh-day adventist,chicago heights,nigerian seventh day adventist,il,23 e 23rd st,60411
3923,(708) 756-3625,,chicago heights,st agnes parish,il,2525 s halsted st,60411
3924,(708) 755-3737,baptist,chicago heights,fellowship baptist church,il,148 w 26th stsouth,60411
3925,(708) 754-3120,catholic,chicago heights,st. paul catholic church,il,206 e 25th st,60411
3939,(708) 756-3358,christian,chicago heights,cornerstone christian center,il,2919 chicago rdsouth,60411
3971,(708) 758-6700,united church of christ,chicago heights,grace united church of christ,il,2500 223rd st,60411
4007,(708) 756-1280,mormon,chicago heights,church of jesus christ of latter day saints,il,402 longwood dr,60411
4010,(708) 481-3210,christian,chicago heights,chicago heights nazarene church,il,699 8th st,60411
4011,(708) 481-3222,Lutheran,chicago heights,prince of peace lutheran church,il,667 8th st,60411
4018,(708) 756-2414,,chicago heights,true foundation church,il,189 e lincoln hwy,60411
4757,(708) 757-5456,christian,chicago heights,jesus way truth life church,il,264 e lincoln hwy,60411
4402,(217) 587-2761,baptist,manchester,manchester baptist church,il,402 e,62663
3198,(708) 841-0864,baptist,dolton,resurrection house baptist church,il,245 e 138th st,60419
3309,(708) 969-3371,christian,dolton,abundant living christian academy,il,14540 lincoln ave,60419
3323,(708) 849-3237,,dolton,b o o c,il,14200 chicago rd ste 214,60419
3339,(708) 841-3737,united church of christ,dolton,immanuel bethel united church of christ,il,14540 lincoln ave,60419
3398,(708) 201-1747,christian,dolton,river oaks community church,il,14220 grant st,60419
3400,(708) 896-7028,,dolton,grace and truth,il,14226 grant st,60419
3412,(708) 880-0906,evangelical,dolton,new mind kingdom ministries,il,817 e 142nd st,60419
3416,(708) 841-9001,christian jehovah's witnesses,dolton,jehovah's witnesses,il,14300 cottage grove ave,60419
3427,(708) 201-9950,evangelical,dolton,christ oasis ministries,il,820 california ave,60419
3469,(708) 896-6443,catholic,dolton,glory cathedral ministries,il,833 e 158th st,60419
3474,(708) 880-1914,evangelical,dolton,chosen one ministries,il,1630 e 154th st,60419
3494,(708) 849-3635,pentecostal,dolton,new life celebration church of god,il,14243 dante ave,60419
3510,(708) 201-9187,baptist,dolton,new birth of love baptist church,il,15044 beachview ter,60419
3529,(708) 849-4605,,dolton,goshen s d a church,il,14400 maryland ave,60419
3534,(708) 849-6904,evangelical,dolton,new zion christian fellowship,il,14200 chicago rd,60419
3540,(708) 841-3939,methodist,dolton,faith united methodist church,il,15015 grant st,60419
3543,(708) 849-1630,baptist,dolton,lorimer baptist church,il,14801 lincoln ave,60419
3551,(708) 849-2256,evangelical,dolton,abounding in christ love ministry,il,14620 lincoln ave,60419
4477,(630) 980-4450,presbyterian,roselle,spring valley presbyterian church,il,903 e nerge rd,60172
4623,(630) 894-2461,catholic,roselle,st walter's catholic church,il,130 w pine ave,60172
4624,(630) 893-0140,,roselle,canaan apostolic united church,il,210 e pine ave,60172
4628,(630) 529-1309,methodist,roselle,roselle united methodist church,il,206 rush st,60172
4634,(630) 529-1282,christian,roselle,christian tabernacle church,il,100 s park st,60172
4645,(630) 894-3263,Lutheran,roselle,trinity lutheran school,il,405 rush st,60172
4646,(630) 295-5977,,roselle,saint marys church of the east,il,660 larson ln,60172
4647,(224) 653-9940,Lutheran,roselle,trinity lutheran church,il,233 e maple ave,60172
4664,(630) 529-1418,christian,roselle,light bearer community church,il,113 cambrian ct,60172
4689,(630) 307-0191,christian,roselle,jesus bapist chicago church,il,575 rush st,60172
4698,(630) 894-0789,,roselle,bottje cheryl cs,il,141 e pine ave,60172
4699,(217) 734-2145,baptist,roselle,baptist church pleasant hill,il,1 e main st,60172
4709,(630) 529-8949,christian bible church,roselle,grace community bible church,il,6n171 gary ave,60172
3305,(708) 448-8981,church of the nazarene,worth,church of the nazarene,il,6825 w 112th st,60482
3316,(708) 448-6682,methodist,worth,united methodist church,il,7100 w 112th st,60482
3319,(708) 448-6555,Lutheran,worth,saint mark evangelical lutheran church,il,11007 s 76th ave,60482
3340,(708) 608-8083,pentecostal,worth,apostolic faith church,il,7100 w 112th st,60482
3348,(708) 361-4230,churches of christ,worth,church of christ,il,11512 s normandy ave,60482
4372,(847) 419-9191,presbyterian,wheeling,midwest hanmi presbytry,il,9815 capitol dr,60090
4373,(847) 243-2511,presbyterian,wheeling,grace presbyterian church,il,4000 capitol dr,60090
4376,(847) 243-8623,christian,wheeling,promise fulfillment community church,il,5260 capitol dr,60090
4384,(847) 541-9538,methodist,wheeling,first korean united methodist church,il,655 e hintz rd,60090
4385,(847) 808-5700,presbyterian,wheeling,northfield korean presbyterian church,il,380 w palatine rd ste 1,60090
4407,(224) 548-9269,,wheeling,revival international,il,360 wille ave,60090
4412,(847) 537-4449,presbyterian,wheeling,evergreen presbyterian church,il,196 highland ave,60090
4421,(847) 537-9632,christian bible church,wheeling,antioch bible church,il,480 s elmhurst rd,60090
4428,(847) 459-4440,evangelical,wheeling,our saviour evangelical free church,il,300 schoenbeck rd,60090
4473,(847) 808-8202,korean church,wheeling,korean christian reformed church,il,850 jenkins ct,60090
4487,(847) 537-2740,,wheeling,saint joseph the worker church,il,181 w dundee rd,60090
4603,(847) 459-3080,presbyterian,wheeling,calvary presbyterian chr,il,704 mchenry rd,60090
4606,(224) 676-1462,,wheeling,cec,il,704 mchenry rd,60090
2678,(773) 396-2600,presbyterian,burbank,divine redeemer presbyterian church,il,7950 s cicero ave,60459
3234,(708) 636-8635,baptist,burbank,jordan baptist school,il,5040 w 87th st,60459
3240,(708) 423-2441,orthodox church,burbank,archangel michael orthodox church,il,5037 w 83rd st,60459
3243,(708) 424-8504,baptist,burbank,first baptist church,il,7958 leclaire ave,60459
3251,(708) 576-8570,,burbank,harvest time worship center,il,8420 narragansett ave,60459
3310,(708) 598-8070,Lutheran,burbank,holy trinity lutheran church,il,8659 sayre ave,60459
3315,(708) 424-7181,presbyterian,burbank,burbank manor presbyterian church,il,7950 central ave,60459
3338,(708) 598-5775,seventh-day adventist,burbank,seventh-day adventist church,il,8351 new castle ave,60459
3384,(708) 346-9549,pentecostal,burbank,apostolic faith church,il,5502 w 84th st,60459
3403,(708) 424-7757,,burbank,st albert the great school,il,5535 state rd,60459
3404,(708) 634-3997,churches of christ,burbank,first church of christ scientist,il,5620 w 80th st,60459
3406,(708) 636-5748,baptist,burbank,greenwood hills baptist,il,8310 state rd,60459
3500,(708) 599-4780,Lutheran,burbank,our savior lutheran church,il,8607 narragansett ave,60459
3537,(708) 599-8688,pentecostal,burbank,crossroads assembly of god,il,8461 state rd,60459
3541,(708) 599-5335,christian,burbank,immanuel christian reformed church,il,8302 normandy ave,60459
3600,(708) 301-6246,,homer glen,our mother of good counsel,il,16043 s bell rd,60491
3617,(708) 301-1900,christian,homer glen,eagle rock community church,il,14367 w 159th st,60491
3880,(708) 301-3020,catholic,homer glen,st bernard catholic church,il,13030 w 143rd st,60491
3904,(708) 645-0652,,homer glen,assumption church,il,15625 s bell rd,60491
3970,(708) 301-3312,christian,homer glen,parkview christian church,il,14367 w 159th st,60491
3982,(708) 645-0241,catholic,homer glen,annunciation byzantine catholic church,il,14610 s will cook rd,60491
4077,(708) 301-6952,,homer glen,st bernard's religious education center,il,14724 s arboretum dr,60491
4714,(708) 301-6998,Lutheran,homer glen,cross of glory lutheran church,il,14719 w 163rd st,60491
4292,(847) 212-0632,,mount prospect,new lords church,il,407 n main st,60056
4298,(847) 296-3242,christian,mount prospect,life community church,il,1500 e central rd,60056
4299,(847) 253-0501,,mount prospect,the south church,il,501 s emerson st,60056
4300,(847) 255-0332,Lutheran,mount prospect,saint paul lutheran church,il,100 s school st,60056
4301,(847) 259-2568,Lutheran,mount prospect,lutheran church-martha & mary,il,606 w golf rd,60056
4305,(847) 299-2400,pentecostal,mount prospect,northwest assembly of god,il,900 n wolf rd,60056
4326,(847) 392-3111,presbyterian,mount prospect,community presbyterian church,il,407 n main st,60056
4327,(847) 255-4671,evangelical,mount prospect,northwest covenant church,il,300 n elmhurst ave,60056
4328,(847) 439-3337,christian bible church,mount prospect,mount prospect bible church,il,505 w golf rd,60056
4340,(847) 376-5464,presbyterian,mount prospect,gloria dei presbyterian,il,137 e morrison ave,60056
4342,(630) 824-5049,,mount prospect,st emily,il,1400 e central rd,60056
4343,(847) 296-3490,,mount prospect,st emily school,il,1400 e central rd,60056
4346,(847) 477-8776,pentecostal,mount prospect,chicago indian church assembly of god,il,900 n wolf rd,60056
4347,(847) 496-0266,,mount prospect,embassy,il,505 w golf rd,60056
4348,(847) 699-0161,,mount prospect,matrix scientist,il,1061 feehanville dr,60056
4349,(847) 255-2440,pentecostal,mount prospect,chicago assembly of god,il,618 e golf rd,60056
4350,(847) 439-0950,methodist,mount prospect,trinity united methodist church,il,605 w golf rd,60056
4351,(847) 290-8074,christian bible church,mount prospect,immanuel bible church,il,1100 s linneman rd ste b,60056
4352,(847) 758-7188,evangelical,mount prospect,armenian evangelical church,il,905 w golf rd,60056
4354,(847) 253-0631,Lutheran,mount prospect,st mark lutheran church,il,200 s wille st,60056
4355,(847) 873-1110,,mount prospect,st mark preschool and enrichment center,il,200 s wille st,60056
4356,(847) 253-8555,,mount prospect,st raymond school,il,300 s elmhurst ave,60056
4357,(847) 824-7408,Lutheran,mount prospect,grace evangelical lutheran church,il,1624 e euclid ave,60056
4358,(847) 259-1840,christian,mount prospect,christian life college,il,400 e gregory st,60056
4359,(847) 942-1671,christian,mount prospect,evergreen community church,il,200 n main st,60056
4360,(847) 253-2592,presbyterian,mount prospect,community presby church parents day out program,il,407 n main st,60056
4369,(847) 749-3287,christian,mount prospect,tason community church,il,1750 w central rd,60056
4452,(847) 824-6882,,mount prospect,d d m b a chicago chapter,il,1234 n river rd,60056
4455,(847) 437-6208,,mount prospect,saint cecilia parish,il,700 s meier rd,60056
4465,(847) 437-6335,church of the nazarene,mount prospect,mount prospect int church of the nazarene,il,1501 s linneman rd,60056
4466,(847) 394-0809,japanese new religious mvmt,mount prospect,rissho kosei-kai church of chgo,il,1 w euclid ave,60056
4479,(847) 593-7670,Lutheran,mount prospect,st. john lutheran church,il,1100 s linneman rd,60056
4480,(847) 392-1700,episcopalian,mount prospect,st johns episcopal church,il,200 n main st,60056
4485,(847) 827-9220,,mount prospect,saint thomas becket church,il,1321 n burning bush ln,60056
4488,(847) 253-8600,,mount prospect,st raymonds church,il,301 s i oka ave,60056
3629,(630) 654-4544,united church of christ,burr ridge,united church of christ-il,il,15w100 plainfield rd,60527
3785,(708) 784-6284,episcopalian,burr ridge,st helena's episcopal,il,7600 wolf rd,60527
3788,(708) 839-1200,,burr ridge,board of stewardship,il,11500 german church rd,60527
3817,(630) 655-3468,orthodox church,burr ridge,st mark coptic orthodox church of chicago,il,15w455 91st st,60527
3846,(630) 964-4626,evangelical,burr ridge,all nations fellowship sda,il,15w100 plainfield rd,60527
3993,(630) 325-4178,evangelical,burr ridge,fellowship for interpretation of genomes,il,15w155 81st st,60527
4015,(630) 323-3525,,burr ridge,saint peter & paul orthodox,il,6980 s county line rd,60527
4071,(708) 839-1444,Lutheran,burr ridge,trinity lutheran,il,11503 german church rd,60527
4118,(630) 789-1983,,burr ridge,zoroastrian center of chicago,il,8615 meadowbrook dr,60527
3531,(708) 598-3100,presbyterian,hickory hills,hickory hills presbyterian church,il,8426 w 95th st,60457
3546,(708) 599-0331,pentecostal,hickory hills,jesus name pentecostal church,il,8747 s roberts rd,60457
3547,(708) 237-3780,,hickory hills,pilgrim m b church,il,8200 w 91st st,60457
3576,(708) 330-5252,christian,hickory hills,steeple hill christian life center,il,9000 w 87th st,60457
3656,(708) 598-5232,,hickory hills,st patricia,il,8600 w 89th st,60457
3701,(708) 598-5222,,hickory hills,st patricia,il,9050 s 86th ave,60457
3702,(708) 598-8200,,hickory hills,st patricia school,il,9000 s 86th ave,60457
2774,(847) 563-8122,pentecostal,evanston,harvest temple church of god in,il,705 howard st,60202
2775,(847) 475-7707,jewish,evanston,sephardic congregation,il,1819 howard st,60202
2776,(847) 328-4533,evangelical Christian,evanston,vineyard christian fellowship,il,2401 brummel st,60202
2777,(847) 328-7678,jewish,evanston,jewish reconstructionist congregation,il,303 dodge ave,60202
2778,(847) 733-0321,,evanston,hope,il,326 callan ave,60202
2779,(847) 492-1897,pentecostal,evanston,blessing church of god,il,1226 austin st,60202
2780,(847) 864-2533,,evanston,yhwh and yeshus's temple inc,il,725 howard st,60202
2781,(847) 328-4544,evangelical Christian,evanston,vineyard christian church,il,2495 howard st,60202
2786,(847) 869-0660,,evanston,reba place church,il,620 madison st,60202
2787,(847) 491-9347,,evanston,bethel united church apostolic,il,2315 main st,60202
2788,(847) 864-8511,,evanston,friends evanston meeting,il,1010 greenleaf st,60202
2790,(847) 864-5925,,evanston,fresh anointing worship,il,1000 south blvd,60202
2792,(847) 475-2211,Lutheran,evanston,grace lutheran church,il,1430 south blvd,60202
2793,(847) 869-0682,,evanston,senior connections,il,611 south blvd,60202
2794,(847) 868-1464,,evanston,reba place development corporation,il,737 reba pl apt b,60202
2796,(847) 864-1185,catholic,evanston,saint nicholas roman catholic church,il,806 ridge ave,60202
2797,(847) 864-8376,churches of christ,evanston,main street church of christ,il,2325 main st,60202
2799,(312) 502-7660,christian mennonite,evanston,evanston mennonite church,il,933 chicago ave,60202
2800,(847) 328-2600,methodist,evanston,hemenway united methodist church,il,933 chicago ave,60202
2801,(847) 475-4447,methodist,evanston,fisher memorial ame zion church,il,944 elmwood ave,60202
2803,(847) 475-3630,episcopalian,evanston,st luke's episcopal church,il,939 hinman ave,60202
2806,(847) 491-6686,united church of christ,evanston,st. john's united church of christ,il,1136 wesley ave,60202
2807,(847) 332-1794,catholic,evanston,malankara catholic mission chicago,il,1208 ashland ave,60202
2809,(847) 328-5858,evangelical,evanston,evanston bible fellowship,il,611 south blvd,60202
2810,(847) 864-6418,,evanston,apostolic lighthouse church,il,1135 dodge ave,60202
2813,(847) 475-3264,buddhist,evanston,udumbara zen center,il,501 sherman ave,60202
2814,(847) 869-4365,methodist,evanston,united methodist church,il,1200 davis st,60201
2815,(847) 424-0698,,evanston,church street station,il,1640 maple ave,60201
2816,(847) 864-2320,evangelical,evanston,university christian ministry,il,1834 chicago ave,60201
2819,(847) 869-9210,,evanston,northminster nursery school,il,2515 central park ave,60201
2823,(847) 491-7256,,evanston,northwestern university - alice s. millar chapel,il,1870 sheridan rd,60208
2824,(847) 328-4751,episcopalian,evanston,episcopal churches,il,1930 darrow ave,60201
2825,(847) 328-0022,pentecostal,evanston,church of god the new testament,il,1332 davis st,60201
2826,(847) 866-7050,pentecostal,evanston,first church of god,il,1524 simpson st,60201
2827,(847) 866-3900,evangelical,evanston,garrett-evangelical theological seminary,il,2121 sheridan rd,60201
2828,(847) 424-0400,,evanston,ljb solutions,il,1217 mcdaniel ave,60202
2829,(847) 475-9347,baptist,evanston,bethany baptist church,il,1225 elmwood ave,60202
2830,(847) 328-7775,pentecostal,evanston,mount zion apostolic church,il,2101 dempster st,60201
2831,(847) 864-1330,unitarian,evanston,unitarian ch of evanston,il,1330 ridge ave,60201
2832,(847) 328-9454,Lutheran,evanston,bethlehem lutheran church,il,1334 wesley ave,60201
2834,(847) 475-3403,Lutheran,evanston,st paul's lutheran church,il,1004 greenwood st,60201
2835,(847) 864-9637,methodist,evanston,emmanuel united methodist church,il,1401 oak ave,60201
2836,(847) 864-8332,christian congregational church,evanston,first congregational church,il,1417 hinman ave,60201
2837,(847) 864-1472,presbyterian,evanston,first presbyterian church,il,1427 chicago ave,60201
2838,(847) 877-9820,korean church,evanston,evanston korean church,il,1427 chicago ave,60201
2839,(847) 864-1248,,evanston,living hope of calvary church,il,1431 elmwood ave,60201
2840,(847) 864-0333,,evanston,saint mary's church,il,1012 lake st,60201
2841,(847) 864-4464,Lutheran,evanston,immanuel lutheran church,il,616 lake st,60201
2843,(847) 864-2181,,evanston,lake street church of evanston,il,607 lake st,60201
2844,(847) 864-4806,episcopalian,evanston,saint mark episcopal church,il,1509 ridge ave,60201
2846,(847) 492-5200,,evanston,mordecai kaplan center,il,1574 ashland ave,60201
2847,(847) 328-5356,,evanston,new prospect foundation,il,1603 orrington ave,60201
2848,(847) 864-6181,methodist,evanston,first united methodist church,il,516 church st,60201
2849,(847) 328-3996,baptist,evanston,evanston baptist church,il,1702 sherman ave,60201
2850,(847) 869-6955,baptist,evanston,second baptist church,il,1717 benson ave,60201
2851,(847) 866-7511,christian,evanston,harvest mission community church of chicago,il,1718 sherman ave,60201
2852,(847) 475-5542,pentecostal,evanston,first church of god christian life center,il,1721 leland ave,60201
2853,(847) 864-9818,baptist,evanston,mount zion missionary baptist church,il,1113 clark st,60201
2854,(847) 864-6263,,evanston,st james armenian ch,il,816 clark st,60201
2857,(847) 475-7745,seventh-day adventist,evanston,evanston first seventh-day adventist church,il,1825 dodge ave,60201
2858,(847) 866-8101,baptist,evanston,tabernacle missionary baptist church,il,1835 brown ave,60201
2859,(847) 864-7873,christian,evanston,new hope cme church,il,1840 grey ave,60201
2861,(847) 679-0660,,evanston,st joan of arc school-skokie,il,9245 lawndale ave,60203
2863,(847) 328-9778,baptist,evanston,springfield baptist church,il,1801 emerson st,60201
