,id,name,Address1,Address2,PHONE,street,city,zipcode,state,affili
4221,4317,first presbyterian church,"824 waukegan rddeerfield, il 60015","824+waukegan+rddeerfield,+il+60015",(847) 945-0560,824 waukegan rd,deerfield,60015,il,
4222,4318,st gregory's episcopal anglican church of deerfield,"815 wilmot rddeerfield, il 60015","815+wilmot+rddeerfield,+il+60015",(847) 945-1678,815 wilmot rd,deerfield,60015,il,
4310,4406,bjbe,"1141 lake cook rddeerfield, il 60015","1141+lake+cook+rddeerfield,+il+60015",(224) 804-6986,1141 lake cook rd,deerfield,60015,il,
4312,4408,moriah congregation,"200 taub drdeerfield, il 60015","200+taub+drdeerfield,+il+60015",(847) 948-5340,200 taub dr,deerfield,60015,il,
4313,4409,moriah usy-kadima,"200 taub drdeerfield, il 60015","200+taub+drdeerfield,+il+60015",(847) 948-5342,200 taub dr,deerfield,60015,il,
4315,4411,b'nai jehoshua congregation,"1201 lake cook rd ste edeerfield, il 60015","1201+lake+cook+rd+ste+edeerfield,+il+60015",(847) 940-7575,1201 lake cook rd ste e,deerfield,60015,il,
4323,4419,congregational church,"225 wilmot rddeerfield, il 60015","225+wilmot+rddeerfield,+il+60015",(847) 945-0176,225 wilmot rd,deerfield,60015,il,
4328,4424,lutheran general medical group sc,"720 osterman avedeerfield, il 60015","720+osterman+avedeerfield,+il+60015",(847) 374-0936,720 osterman ave,deerfield,60015,il,
4329,4425,zion evangelical lutheran church,"10 deerfield rddeerfield, il 60015","10+deerfield+rddeerfield,+il+60015",(847) 945-2009,10 deerfield rd,deerfield,60015,il,
4330,4426,north chicago onnuri church,"10 deerfield rddeerfield, il 60015","10+deerfield+rddeerfield,+il+60015",(847) 940-1900,10 deerfield rd,deerfield,60015,il,
4331,4427,christ united methodist church,"600 deerfield rddeerfield, il 60015","600+deerfield+rddeerfield,+il+60015",(847) 945-3040,600 deerfield rd,deerfield,60015,il,
4334,4430,holy cross catholic church,"724 elder lndeerfield, il 60015","724+elder+lndeerfield,+il+60015",(847) 945-0430,724 elder ln,deerfield,60015,il,
4338,4434,cpm integrated service,"832 northwoods rddeerfield, il 60015","832+northwoods+rddeerfield,+il+60015",(312) 925-3191,832 northwoods rd,deerfield,60015,il,
4339,4435,trinity united church of christ,"760 north avedeerfield, il 60015","760+north+avedeerfield,+il+60015",(847) 945-5050,760 north ave,deerfield,60015,il,
4343,4439,congregation b'nai tikvah,"1558 wilmot rddeerfield, il 60015","1558+wilmot+rddeerfield,+il+60015",(847) 945-0470,1558 wilmot rd,deerfield,60015,il,
4349,4445,north shore chinese christian church,"1250 waukegan rddeerfield, il 60015","1250+waukegan+rddeerfield,+il+60015",(847) 945-6760,1250 waukegan rd,deerfield,60015,il,
4352,4448,owen william,"885 heather rddeerfield, il 60015","885+heather+rddeerfield,+il+60015",(847) 236-4828,885 heather rd,deerfield,60015,il,
4376,4472,first church-christ scientist,"155 deerfield rddeerfield, il 60015","155+deerfield+rddeerfield,+il+60015",(847) 945-1626,155 deerfield rd,deerfield,60015,il,
3173,3192,immanuel united church-christ,"9815 s campbell aveevergreen park, il 60805","9815+s+campbell+aveevergreen+park,+il+60805",(708) 424-3755,9815 s campbell ave,evergreen park,60805,il,
3174,3193,evergreen park presbyterian church,"8859 s francisco aveevergreen park, il 60805","8859+s+francisco+aveevergreen+park,+il+60805",(708) 422-7107,8859 s francisco ave,evergreen park,60805,il,
3175,3194,st bernadette school,"9311 s francisco aveevergreen park, il 60805","9311+s+francisco+aveevergreen+park,+il+60805",(708) 422-6429,9311 s francisco ave,evergreen park,60805,il,
3176,3195,byrne dave rev,"9343 s francisco aveevergreen park, il 60805","9343+s+francisco+aveevergreen+park,+il+60805",(708) 422-8995,9343 s francisco ave,evergreen park,60805,il,
3177,3196,bethel bible church,"3225 w 96th stevergreen park, il 60805","3225+w+96th+stevergreen+park,+il+60805",(708) 424-1384,3225 w 96th st,evergreen park,60805,il,
3178,3197,gilgal ministries,"8859 s francisco aveevergreen park, il 60805","8859+s+francisco+aveevergreen+park,+il+60805",(708) 907-3361,8859 s francisco ave,evergreen park,60805,il,
3190,3209,united by faith lutheran church,"3240 w 98th stevergreen park, il 60805","3240+w+98th+stevergreen+park,+il+60805",(708) 422-6301,3240 w 98th st,evergreen park,60805,il,
3191,3210,jacob's well church community,"3450 w maple stevergreen park, il 60805","3450+w+maple+stevergreen+park,+il+60805",(708) 636-5653,3450 w maple st,evergreen park,60805,il,
3192,3211,most holy redeemer school,"3650 w 96th stevergreen park, il 60805","3650+w+96th+stevergreen+park,+il+60805",(708) 425-5354,3650 w 96th st,evergreen park,60805,il,christian
3216,3235,queen of martyrs rectory,"10233 s central park aveevergreen park, il 60805","10233+s+central+park+aveevergreen+park,+il+60805",(708) 423-8110,10233 s central park ave,evergreen park,60805,il,
3227,3246,most holy redeemer church,"9525 s lawndale aveevergreen park, il 60805","9525+s+lawndale+aveevergreen+park,+il+60805",(708) 636-7144,9525 s lawndale ave,evergreen park,60805,il,
3229,3248,maranatha chapel,"9755 s pulaski rdevergreen park, il 60805","9755+s+pulaski+rdevergreen+park,+il+60805",(708) 422-4340,9755 s pulaski rd,evergreen park,60805,il,
3627,3646,village ucc,"1150 meadowcrest rdla grange park, il 60526","1150+meadowcrest+rdla+grange+park,+il+60526",(708) 354-0900,1150 meadowcrest rd,la grange park,60526,il,
3846,3865,yoelin property management,"405 n kensington avela grange park, il 60526","405+n+kensington+avela+grange+park,+il+60526",(708) 638-6377,405 n kensington ave,la grange park,60526,il,
3852,3871,comboni lay missionaries,"1615 e 31st stla grange park, il 60526","1615+e+31st+stla+grange+park,+il+60526",(708) 354-1999,1615 e 31st st,la grange park,60526,il,
3853,3872,st louise de marillac school,"1125 harrison avela grange park, il 60526","1125+harrison+avela+grange+park,+il+60526",(708) 352-2202,1125 harrison ave,la grange park,60526,il,
3879,3898,congregation of saint joseph,"1515 w ogden avela grange park, il 60526","1515+w+ogden+avela+grange+park,+il+60526",(708) 354-9200,1515 w ogden ave,la grange park,60526,il,
3880,3899,saint michael's luth ch,"500 e 31st stla grange park, il 60526","500+e+31st+stla+grange+park,+il+60526",(708) 354-3206,500 e 31st st,la grange park,60526,il,
4026,4045,st louise de marillac,"1144 harrison avela grange park, il 60526","1144+harrison+avela+grange+park,+il+60526",(708) 352-7388,1144 harrison ave,la grange park,60526,il,
3193,3212,pioneer missionary baptist church,"11914 s paulina stcalumet park, il 60827","11914+s+paulina+stcalumet+park,+il+60827",(708) 389-5112,11914 s paulina st,calumet park,60827,il,
3194,3213,redeemed fellowship church,"933 w 123rd stcalumet park, il 60827","933+w+123rd+stcalumet+park,+il+60827",(708) 388-9370,933 w 123rd st,calumet park,60827,il,
3195,3214,community covenant church,"12446 s loomis stcalumet park, il 60827","12446+s+loomis+stcalumet+park,+il+60827",(708) 385-7477,12446 s loomis st,calumet park,60827,il,
3196,3215,christ life redeeming mb church,"1133 w 127th stcalumet park, il 60827","1133+w+127th+stcalumet+park,+il+60827",(708) 385-6994,1133 w 127th st,calumet park,60827,il,
3197,3216,tabernacle of david help center,"1129 w 127th stcalumet park, il 60827","1129+w+127th+stcalumet+park,+il+60827",(708) 631-3465,1129 w 127th st,calumet park,60827,il,
3199,3218,fire worship fervent,"12616 s ada stcalumet park, il 60827","12616+s+ada+stcalumet+park,+il+60827",(708) 385-0703,12616 s ada st,calumet park,60827,il,
3202,3221,mt calvary lutheran church,"1301 w vermont avecalumet park, il 60827","1301+w+vermont+avecalumet+park,+il+60827",(708) 389-1010,1301 w vermont ave,calumet park,60827,il,
4540,4636,alliance fellowship,"665 grand canyon sthoffman estates, il 60169","665+grand+canyon+sthoffman+estates,+il+60169",(847) 885-8183,665 grand canyon st,hoffman estates,60169,il,
4558,4654,shree jalaram mandir,"425 illinois blvdhoffman estates, il 60169","425+illinois+blvdhoffman+estates,+il+60169",(847) 490-5252,425 illinois blvd,hoffman estates,60169,il,
4561,4657,destiny church,"325 illinois blvdhoffman estates, il 60169","325+illinois+blvdhoffman+estates,+il+60169",(847) 885-2908,325 illinois blvd,hoffman estates,60169,il,
4604,4700,summitview christian church,"695 illinois blvdhoffman estates, il 60169","695+illinois+blvdhoffman+estates,+il+60169",(847) 885-3683,695 illinois blvd,hoffman estates,60169,il,
4605,4701,the church of the cross united presbyterian usa,"475 w higgins rdhoffman estates, il 60169","475+w+higgins+rdhoffman+estates,+il+60169",(847) 885-1199,475 w higgins rd,hoffman estates,60169,il,
3543,3562,emmaus community,"925 macarthur drchicago heights, il 60411","925+macarthur+drchicago+heights,+il+60411",(708) 481-7025,925 macarthur dr,chicago heights,60411,il,
3547,3566,restoration church,"274 201st stchicago heights, il 60411","274+201st+stchicago+heights,+il+60411",(708) 543-2311,274 201st st,chicago heights,60411,il,
3606,3625,new life christian fellowship,"1645 wilson avechicago heights, il 60411","1645+wilson+avechicago+heights,+il+60411",(708) 755-7900,1645 wilson ave,chicago heights,60411,il,
3626,3645,union evangelistic baptist church,"1625 center avechicago heights, il 60411","1625+center+avechicago+heights,+il+60411",(708) 757-5153,1625 center ave,chicago heights,60411,il,
3635,3654,word of the world ministries,"835 s halsted stchicago heights, il 60411","835+s+halsted+stchicago+heights,+il+60411",(708) 833-7544,835 s halsted st,chicago heights,60411,il,
3643,3662,calvary baptist church,"241 e 15th stchicago heights, il 60411","241+e+15th+stchicago+heights,+il+60411",(708) 757-7710,241 e 15th st,chicago heights,60411,il,
3668,3687,first presbyterian church,"900 thomas stchicago heights, il 60411","900+thomas+stchicago+heights,+il+60411",(708) 481-3754,900 thomas st,chicago heights,60411,il,
3757,3776,st kieran,"724 195th stchicago heights, il 60411","724+195th+stchicago+heights,+il+60411",(708) 755-0074,724 195th st,chicago heights,60411,il,
3759,3778,christian cathedral,"281 tahoe drchicago heights, il 60411","281+tahoe+drchicago+heights,+il+60411",(708) 754-9332,281 tahoe dr,chicago heights,60411,il,
3764,3783,river of life kingdom ministries,"19600 glenwood rdchicago heights, il 60411","19600+glenwood+rdchicago+heights,+il+60411",(708) 756-0337,19600 glenwood rd,chicago heights,60411,il,
3770,3789,franciscan alliance,"100 197th plchicago heights, il 60411","100+197th+plchicago+heights,+il+60411",(708) 754-1337,100 197th pl,chicago heights,60411,il,
3773,3792,advocate united church of christ,"312 chicago rdchicago heights, il 60411","312+chicago+rdchicago+heights,+il+60411",(708) 754-2266,312 chicago rd,chicago heights,60411,il,
3783,3802,kingdom apostolic church intl,"425 ashland avechicago heights, il 60411","425+ashland+avechicago+heights,+il+60411",(708) 506-3168,425 ashland ave,chicago heights,60411,il,evangelical
3796,3815,freedom of grace full gospel church,"667 8th stchicago heights, il 60411","667+8th+stchicago+heights,+il+60411",(708) 898-1963,667 8th st,chicago heights,60411,il,
3808,3827,deer creek christian church,"330 w highland drchicago heights, il 60411","330+w+highland+drchicago+heights,+il+60411",(708) 672-6200,330 w highland dr,chicago heights,60411,il,
3810,3829,pwc ministries,"19930 rose stchicago heights, il 60411","19930+rose+stchicago+heights,+il+60411",(708) 251-8121,19930 rose st,chicago heights,60411,il,
3813,3832,faith movers church,"1010 dixie hwy ste 306chicago heights, il 60411","1010+dixie+hwy+ste+306chicago+heights,+il+60411",(708) 833-7694,1010 dixie hwy ste 306,chicago heights,60411,il,
3819,3838,thorn creek congregation of jehovah's witnesses,"20255 stoney island avechicago heights, il 60411","20255+stoney+island+avechicago+heights,+il+60411",(708) 758-5543,20255 stoney island ave,chicago heights,60411,il,
3820,3839,the church of good,"1045 dixie hwychicago heights, il 60411","1045+dixie+hwychicago+heights,+il+60411",(708) 248-7855,1045 dixie hwy,chicago heights,60411,il,
3824,3843,midwest baptist church,"1240 ashland avechicago heights, il 60411","1240+ashland+avechicago+heights,+il+60411",(708) 754-5606,1240 ashland ave,chicago heights,60411,il,
3825,3844,trinity church of god in christ,"1206 schilling avechicago heights, il 60411","1206+schilling+avechicago+heights,+il+60411",(708) 757-4505,1206 schilling ave,chicago heights,60411,il,
3833,3852,living word outreach international church,"400 w lincoln hwychicago heights, il 60411","400+w+lincoln+hwychicago+heights,+il+60411",(708) 754-3499,400 w lincoln hwy,chicago heights,60411,il,
3836,3855,new hope baptist church,"130 e 13th stchicago heights, il 60411","130+e+13th+stchicago+heights,+il+60411",(708) 754-3530,130 e 13th st,chicago heights,60411,il,
3837,3856,remnant church of god,"1009 e 8th plchicago heights, il 60411","1009+e+8th+plchicago+heights,+il+60411",(708) 515-9196,1009 e 8th pl,chicago heights,60411,il,
3839,3858,fellowship of believers,"268 w lincoln hwychicago heights, il 60411","268+w+lincoln+hwychicago+heights,+il+60411",(708) 248-7449,268 w lincoln hwy,chicago heights,60411,il,
3841,3860,emmanuel seventh-day adventist church,"1425 wilson avechicago heights, il 60411","1425+wilson+avechicago+heights,+il+60411",(708) 754-3122,1425 wilson ave,chicago heights,60411,il,
3842,3861,greater faith baptist church,"1417 emerald avechicago heights, il 60411","1417+emerald+avechicago+heights,+il+60411",(708) 248-5226,1417 emerald ave,chicago heights,60411,il,
3847,3866,missionary baptist churc s,"1303 5th avechicago heights, il 60411","1303+5th+avechicago+heights,+il+60411",(708) 898-0501,1303 5th ave,chicago heights,60411,il,
3848,3867,new first church of god in christ,"1304 wentworth avechicago heights, il 60411","1304+wentworth+avechicago+heights,+il+60411",(708) 757-5080,1304 wentworth ave,chicago heights,60411,il,
3849,3868,church first baptist k,"401 w 15th plchicago heights, il 60411","401+w+15th+plchicago+heights,+il+60411",(708) 754-6959,401 w 15th pl,chicago heights,60411,il,
3854,3873,international pentecostal,"283 e lincoln hwychicago heights, il 60411","283+e+lincoln+hwychicago+heights,+il+60411",(708) 758-1840,283 e lincoln hwy,chicago heights,60411,il,
3855,3874,saint agnes church,"1501 chicago rdchicago heights, il 60411","1501+chicago+rdchicago+heights,+il+60411",(708) 709-2694,1501 chicago rd,chicago heights,60411,il,baptist
3856,3875,greater new hope church,"83 e 15th stchicago heights, il 60411","83+e+15th+stchicago+heights,+il+60411",(708) 755-0645,83 e 15th st,chicago heights,60411,il,pentecostal
3857,3876,new harvest pentecostal,"270 e lincoln hwychicago heights, il 60411","270+e+lincoln+hwychicago+heights,+il+60411",(708) 833-7473,270 e lincoln hwy,chicago heights,60411,il,
3858,3877,true vine love deliverance ministries,"307 e lincoln hwychicago heights, il 60411","307+e+lincoln+hwychicago+heights,+il+60411",(708) 248-6401,307 e lincoln hwy,chicago heights,60411,il,evangelical
3859,3878,mount sinai apostolic church,"284 e lincoln hwychicago heights, il 60411","284+e+lincoln+hwychicago+heights,+il+60411",(708) 757-0141,284 e lincoln hwy,chicago heights,60411,il,
3860,3879,goodwin memorial cathedral church,"280 w 16th stchicago heights, il 60411","280+w+16th+stchicago+heights,+il+60411",(708) 753-0463,280 w 16th st,chicago heights,60411,il,seventh-day adventist
3863,3882,new convenant faith church,"65 e 16th stchicago heights, il 60411","65+e+16th+stchicago+heights,+il+60411",(708) 754-3140,65 e 16th st,chicago heights,60411,il,
3864,3883,new life baptist church,"1633 wilson avechicago heights, il 60411","1633+wilson+avechicago+heights,+il+60411",(708) 755-1659,1633 wilson ave,chicago heights,60411,il,
3865,3884,god can ministry united church of christ,"1100 greenwood avechicago heights, il 60411","1100+greenwood+avechicago+heights,+il+60411",(708) 757-5550,1100 greenwood ave,chicago heights,60411,il,
3866,3885,payne chapel ame church,"1511 center avechicago heights, il 60411","1511+center+avechicago+heights,+il+60411",(708) 758-9199,1511 center ave,chicago heights,60411,il,baptist
3870,3889,chicago miracle temple church,"34 e 16th stchicago heights, il 60411","34+e+16th+stchicago+heights,+il+60411",(708) 754-9505,34 e 16th st,chicago heights,60411,il,
3876,3895,greater faith baptist church,"1658 thorn stchicago heights, il 60411","1658+thorn+stchicago+heights,+il+60411",(708) 515-9336,1658 thorn st,chicago heights,60411,il,pentecostal
3877,3896,river of life worsip center,"284 e 16th stchicago heights, il 60411","284+e+16th+stchicago+heights,+il+60411",(708) 833-7279,284 e 16th st,chicago heights,60411,il,evangelical
3878,3897,union evangelistic baptist church annex,"1639 center avechicago heights, il 60411","1639+center+avechicago+heights,+il+60411",(708) 758-2268,1639 center ave,chicago heights,60411,il,pentecostal
3881,3900,beacon hill missionary baptist church,"275 plymouth drchicago heights, il 60411","275+plymouth+drchicago+heights,+il+60411",(708) 481-8908,275 plymouth dr,chicago heights,60411,il,
3893,3912,hermosa church,"1935 s halsted stchicago heights, il 60411","1935+s+halsted+stchicago+heights,+il+60411",(708) 709-0249,1935 s halsted st,chicago heights,60411,il,
3894,3913,saint james christian methodist episcopal church,"12 w main stchicago heights, il 60411","12+w+main+stchicago+heights,+il+60411",(708) 755-4721,12 w main st,chicago heights,60411,il,
3900,3919,nigerian seventh day adventist,"23 e 23rd stchicago heights, il 60411","23+e+23rd+stchicago+heights,+il+60411",(708) 755-0095,23 e 23rd st,chicago heights,60411,il,baptist
3904,3923,st agnes parish,"2525 s halsted stchicago heights, il 60411","2525+s+halsted+stchicago+heights,+il+60411",(708) 756-3625,2525 s halsted st,chicago heights,60411,il,
3905,3924,fellowship baptist church,"148 w 26th stsouth chicago heights, il 60411","148+w+26th+stsouth+chicago+heights,+il+60411",(708) 755-3737,148 w 26th stsouth,chicago heights,60411,il,
3906,3925,st. paul catholic church,"206 e 25th stchicago heights, il 60411","206+e+25th+stchicago+heights,+il+60411",(708) 754-3120,206 e 25th st,chicago heights,60411,il,
3920,3939,cornerstone christian center,"2919 chicago rdsouth chicago heights, il 60411","2919+chicago+rdsouth+chicago+heights,+il+60411",(708) 756-3358,2919 chicago rdsouth,chicago heights,60411,il,
3952,3971,grace united church of christ,"2500 223rd stchicago heights, il 60411","2500+223rd+stchicago+heights,+il+60411",(708) 758-6700,2500 223rd st,chicago heights,60411,il,
3988,4007,church of jesus christ of latter day saints,"402 longwood drchicago heights, il 60411","402+longwood+drchicago+heights,+il+60411",(708) 756-1280,402 longwood dr,chicago heights,60411,il,
3991,4010,chicago heights nazarene church,"699 8th stchicago heights, il 60411","699+8th+stchicago+heights,+il+60411",(708) 481-3210,699 8th st,chicago heights,60411,il,
3992,4011,prince of peace lutheran church,"667 8th stchicago heights, il 60411","667+8th+stchicago+heights,+il+60411",(708) 481-3222,667 8th st,chicago heights,60411,il,
3999,4018,true foundation church,"189 e lincoln hwychicago heights, il 60411","189+e+lincoln+hwychicago+heights,+il+60411",(708) 756-2414,189 e lincoln hwy,chicago heights,60411,il,
4661,4757,jesus way truth life church,"264 e lincoln hwychicago heights, il 60411","264+e+lincoln+hwychicago+heights,+il+60411",(708) 757-5456,264 e lincoln hwy,chicago heights,60411,il,
4306,4402,manchester baptist church,"402 emanchester, il 62663","402+emanchester,+il+62663",(217) 587-2761,402 e,manchester,62663,il,
3179,3198,resurrection house baptist church,"245 e 138th stdolton, il 60419","245+e+138th+stdolton,+il+60419",(708) 841-0864,245 e 138th st,dolton,60419,il,
3290,3309,abundant living christian academy,"14540 lincoln avedolton, il 60419","14540+lincoln+avedolton,+il+60419",(708) 969-3371,14540 lincoln ave,dolton,60419,il,
3304,3323,b o o c,"14200 chicago rd ste 214dolton, il 60419","14200+chicago+rd+ste+214dolton,+il+60419",(708) 849-3237,14200 chicago rd ste 214,dolton,60419,il,
3320,3339,immanuel bethel united church of christ,"14540 lincoln avedolton, il 60419","14540+lincoln+avedolton,+il+60419",(708) 841-3737,14540 lincoln ave,dolton,60419,il,
3379,3398,river oaks community church,"14220 grant stdolton, il 60419","14220+grant+stdolton,+il+60419",(708) 201-1747,14220 grant st,dolton,60419,il,
3381,3400,grace and truth,"14226 grant stdolton, il 60419","14226+grant+stdolton,+il+60419",(708) 896-7028,14226 grant st,dolton,60419,il,
3393,3412,new mind kingdom ministries,"817 e 142nd stdolton, il 60419","817+e+142nd+stdolton,+il+60419",(708) 880-0906,817 e 142nd st,dolton,60419,il,
3397,3416,jehovah's witnesses,"14300 cottage grove avedolton, il 60419","14300+cottage+grove+avedolton,+il+60419",(708) 841-9001,14300 cottage grove ave,dolton,60419,il,
3408,3427,christ oasis ministries,"820 california avedolton, il 60419","820+california+avedolton,+il+60419",(708) 201-9950,820 california ave,dolton,60419,il,
3450,3469,glory cathedral ministries,"833 e 158th stdolton, il 60419","833+e+158th+stdolton,+il+60419",(708) 896-6443,833 e 158th st,dolton,60419,il,
3455,3474,chosen one ministries,"1630 e 154th stdolton, il 60419","1630+e+154th+stdolton,+il+60419",(708) 880-1914,1630 e 154th st,dolton,60419,il,
3475,3494,new life celebration church of god,"14243 dante avedolton, il 60419","14243+dante+avedolton,+il+60419",(708) 849-3635,14243 dante ave,dolton,60419,il,
3491,3510,new birth of love baptist church,"15044 beachview terdolton, il 60419","15044+beachview+terdolton,+il+60419",(708) 201-9187,15044 beachview ter,dolton,60419,il,
3510,3529,goshen s d a church,"14400 maryland avedolton, il 60419","14400+maryland+avedolton,+il+60419",(708) 849-4605,14400 maryland ave,dolton,60419,il,baptist
3515,3534,new zion christian fellowship,"14200 chicago rddolton, il 60419","14200+chicago+rddolton,+il+60419",(708) 849-6904,14200 chicago rd,dolton,60419,il,
3521,3540,faith united methodist church,"15015 grant stdolton, il 60419","15015+grant+stdolton,+il+60419",(708) 841-3939,15015 grant st,dolton,60419,il,
3524,3543,lorimer baptist church,"14801 lincoln avedolton, il 60419","14801+lincoln+avedolton,+il+60419",(708) 849-1630,14801 lincoln ave,dolton,60419,il,
3532,3551,abounding in christ love ministry,"14620 lincoln avedolton, il 60419","14620+lincoln+avedolton,+il+60419",(708) 849-2256,14620 lincoln ave,dolton,60419,il,
4381,4477,spring valley presbyterian church,"903 e nerge rdroselle, il 60172","903+e+nerge+rdroselle,+il+60172",(630) 980-4450,903 e nerge rd,roselle,60172,il,
4527,4623,st walter's catholic church,"130 w pine averoselle, il 60172","130+w+pine+averoselle,+il+60172",(630) 894-2461,130 w pine ave,roselle,60172,il,
4528,4624,canaan apostolic united church,"210 e pine averoselle, il 60172","210+e+pine+averoselle,+il+60172",(630) 893-0140,210 e pine ave,roselle,60172,il,
4532,4628,roselle united methodist church,"206 rush stroselle, il 60172","206+rush+stroselle,+il+60172",(630) 529-1309,206 rush st,roselle,60172,il,
4538,4634,christian tabernacle church,"100 s park stroselle, il 60172","100+s+park+stroselle,+il+60172",(630) 529-1282,100 s park st,roselle,60172,il,
4549,4645,trinity lutheran school,"405 rush stroselle, il 60172","405+rush+stroselle,+il+60172",(630) 894-3263,405 rush st,roselle,60172,il,
4550,4646,saint marys church of the east,"660 larson lnroselle, il 60172","660+larson+lnroselle,+il+60172",(630) 295-5977,660 larson ln,roselle,60172,il,
4551,4647,trinity lutheran church,"233 e maple averoselle, il 60172","233+e+maple+averoselle,+il+60172",(224) 653-9940,233 e maple ave,roselle,60172,il,
4568,4664,light bearer community church,"113 cambrian ctroselle, il 60172","113+cambrian+ctroselle,+il+60172",(630) 529-1418,113 cambrian ct,roselle,60172,il,
4593,4689,jesus bapist chicago church,"575 rush stroselle, il 60172","575+rush+stroselle,+il+60172",(630) 307-0191,575 rush st,roselle,60172,il,
4602,4698,bottje cheryl cs,"141 e pine averoselle, il 60172","141+e+pine+averoselle,+il+60172",(630) 894-0789,141 e pine ave,roselle,60172,il,
4603,4699,baptist church pleasant hill,"1 e main stroselle, il 60172","1+e+main+stroselle,+il+60172",(217) 734-2145,1 e main st,roselle,60172,il,
4613,4709,grace community bible church,"6n171 gary averoselle, il 60172","6n171+gary+averoselle,+il+60172",(630) 529-8949,6n171 gary ave,roselle,60172,il,
3286,3305,church of the nazarene,"6825 w 112th stworth, il 60482","6825+w+112th+stworth,+il+60482",(708) 448-8981,6825 w 112th st,worth,60482,il,
3297,3316,united methodist church,"7100 w 112th stworth, il 60482","7100+w+112th+stworth,+il+60482",(708) 448-6682,7100 w 112th st,worth,60482,il,
3300,3319,saint mark evangelical lutheran church,"11007 s 76th aveworth, il 60482","11007+s+76th+aveworth,+il+60482",(708) 448-6555,11007 s 76th ave,worth,60482,il,
